Booking_ID,Booking_Date,Check_in_Date,Check_out_Date,Room_Type,Rate_Plan,Booked_Rate,Number_of_Nights,Number_of_Guests,Booking_Channel,Cancellation_Status,Revenue_Generated
BKG01704,2024-12-31,2025-04-07,2025-04-09,Suite,Early Bird (> 30 days),2010116.22,2,2,Website,Cancelled,0.0
BKG01705,2024-12-31,2025-04-08,2025-04-13,Standard,Early Bird (> 30 days),1250389.28,5,2,OTA,Confirmed,6251946.4
BKG01706,2024-12-31,2025-04-08,2025-04-12,Standard,Early Bird (> 30 days),1192856.9,4,3,Direct,Confirmed,4771427.6
BKG01707,2024-12-31,2025-04-08,2025-04-11,Standard,Early Bird (> 30 days),1208275.5,3,1,OTA,Cancelled,0.0
BKG01708,2024-12-31,2025-04-08,2025-04-10,Standard,Early Bird (> 30 days),1204125.79,2,2,Direct,Confirmed,2408251.58
BKG01709,2024-12-31,2025-04-08,2025-04-12,Standard,Early Bird (> 30 days) + Member,1071571.75,4,1,OTA,Confirmed,4286287.0
BKG01710,2024-12-31,2025-04-08,2025-04-14,Standard,Early Bird (> 30 days) + Member,1047713.55,6,2,Website,Confirmed,6286281.300000001
BKG01711,2024-12-31,2025-04-08,2025-04-13,Standard,Early Bird (> 30 days),1173593.52,5,2,OTA,Cancelled,0.0
BKG01712,2024-12-31,2025-04-08,2025-04-11,Deluxe,Early Bird (> 30 days),1347786.0,3,3,OTA,Confirmed,4043358.0
BKG01713,2024-12-31,2025-04-08,2025-04-10,Deluxe,Early Bird (> 30 days) + Member,1224283.53,2,2,Website,Confirmed,2448567.06
BKG01714,2024-12-31,2025-04-08,2025-04-12,Deluxe,Early Bird (> 30 days),1349759.61,4,2,Direct,Confirmed,5399038.44
BKG01715,2024-12-31,2025-04-08,2025-04-09,Deluxe,Early Bird (> 30 days) + Member,1236842.27,1,1,Website,Confirmed,1236842.27
BKG01716,2024-12-31,2025-04-08,2025-04-12,Deluxe,Early Bird (> 30 days),1305774.35,4,1,OTA,Confirmed,5223097.4
BKG01717,2024-12-31,2025-04-08,2025-04-11,Deluxe,Early Bird (> 30 days) + Member,1240125.28,3,2,OTA,Confirmed,3720375.84
BKG01718,2024-12-31,2025-04-08,2025-04-09,Suite,Early Bird (> 30 days) + Member,1833000.13,1,2,OTA,Cancelled,0.0
BKG01719,2024-12-31,2025-04-08,2025-04-11,Suite,Early Bird (> 30 days) + Member,1899714.62,3,1,OTA,Confirmed,5699143.86
BKG01720,2024-12-31,2025-04-09,2025-04-15,Standard,Early Bird (> 30 days),1220045.26,6,3,Direct,Confirmed,7320271.5600000005
BKG01721,2024-12-31,2025-04-09,2025-04-15,Standard,Early Bird (> 30 days),1140058.12,6,3,OTA,Confirmed,6840348.720000001
BKG01722,2024-12-31,2025-04-09,2025-04-13,Standard,Early Bird (> 30 days),1141529.96,4,2,OTA,Confirmed,4566119.84
BKG01723,2024-12-31,2025-04-09,2025-04-10,Standard,Early Bird (> 30 days),1220112.04,1,2,Walk-in,Confirmed,1220112.04
BKG01724,2024-12-31,2025-04-09,2025-04-11,Standard,Early Bird (> 30 days),1249505.27,2,3,Direct,Confirmed,2499010.54
BKG01725,2024-12-31,2025-04-09,2025-04-13,Standard,Early Bird (> 30 days),1195587.31,4,3,Walk-in,Confirmed,4782349.24
BKG01726,2024-12-31,2025-04-09,2025-04-11,Standard,Early Bird (> 30 days),1160837.2,2,2,OTA,Confirmed,2321674.4
BKG01727,2024-12-31,2025-04-09,2025-04-12,Deluxe,Early Bird (> 30 days),1401445.02,3,2,OTA,Confirmed,4204335.0600000005
BKG01728,2024-12-31,2025-04-09,2025-04-13,Suite,Early Bird (> 30 days),2018059.1,4,3,Direct,Confirmed,8072236.4
BKG01729,2024-12-31,2025-04-09,2025-04-13,Suite,Early Bird (> 30 days),2118655.44,4,2,OTA,Confirmed,8474621.76
BKG01730,2024-12-31,2025-04-09,2025-04-14,Suite,Early Bird (> 30 days),1993430.73,5,2,Direct,Confirmed,9967153.65
BKG01731,2024-12-31,2025-04-10,2025-04-14,Standard,Early Bird (> 30 days),1182588.75,4,3,OTA,Confirmed,4730355.0
BKG01732,2024-12-31,2025-04-10,2025-04-13,Standard,Early Bird (> 30 days) + Member,1074494.37,3,2,Website,Confirmed,3223483.1100000003
BKG01733,2024-12-31,2025-04-10,2025-04-15,Standard,Early Bird (> 30 days),1159831.95,5,3,Walk-in,Confirmed,5799159.75
BKG01734,2024-12-31,2025-04-10,2025-04-11,Standard,Early Bird (> 30 days),1204291.6,1,3,Website,Confirmed,1204291.6
BKG01735,2024-12-31,2025-04-10,2025-04-12,Standard,Early Bird (> 30 days),1219635.55,2,1,OTA,Confirmed,2439271.1
BKG01736,2024-12-31,2025-04-10,2025-04-11,Standard,Early Bird (> 30 days) + Member,1110464.23,1,2,OTA,Confirmed,1110464.23
BKG01737,2024-12-31,2025-04-10,2025-04-13,Standard,Early Bird (> 30 days),1250709.57,3,2,Website,Cancelled,0.0
BKG01738,2024-12-31,2025-04-10,2025-04-15,Standard,Early Bird (> 30 days),1166872.39,5,1,OTA,Confirmed,5834361.949999999
BKG01739,2024-12-31,2025-04-10,2025-04-11,Standard,Early Bird (> 30 days) + Member,1056745.06,1,3,Website,Confirmed,1056745.06
BKG01740,2024-12-31,2025-04-10,2025-04-14,Deluxe,Early Bird (> 30 days),1373987.46,4,1,Direct,Confirmed,5495949.84
BKG01741,2024-12-31,2025-04-10,2025-04-14,Deluxe,Early Bird (> 30 days),1367526.22,4,2,Website,Confirmed,5470104.88
BKG01742,2024-12-31,2025-04-10,2025-04-14,Deluxe,Early Bird (> 30 days),1316342.01,4,2,OTA,Confirmed,5265368.04
BKG01743,2024-12-31,2025-04-10,2025-04-13,Deluxe,Early Bird (> 30 days),1387750.63,3,3,Direct,Confirmed,4163251.8899999997
BKG01744,2024-12-31,2025-04-10,2025-04-15,Deluxe,Early Bird (> 30 days),1369036.96,5,1,OTA,Confirmed,6845184.8
BKG01745,2024-12-31,2025-04-10,2025-04-11,Deluxe,Early Bird (> 30 days),1355508.44,1,2,OTA,Cancelled,0.0
BKG01746,2024-12-31,2025-04-10,2025-04-12,Deluxe,Early Bird (> 30 days) + Member,1224138.97,2,1,Direct,Confirmed,2448277.94
BKG01747,2024-12-31,2025-04-10,2025-04-13,Deluxe,Early Bird (> 30 days) + Member,1168041.82,3,3,Website,Confirmed,3504125.46
BKG01748,2024-12-31,2025-04-11,2025-04-14,Standard,Early Bird (> 30 days) + Member,1048881.27,3,2,Direct,Confirmed,3146643.81
BKG01749,2024-12-31,2025-04-11,2025-04-12,Standard,Early Bird (> 30 days),1196545.09,1,3,Walk-in,Confirmed,1196545.09
BKG01750,2024-12-31,2025-04-11,2025-04-14,Standard,Early Bird (> 30 days),1239002.21,3,2,OTA,Confirmed,3717006.63
BKG01751,2024-12-31,2025-04-11,2025-04-17,Standard,Early Bird (> 30 days),1187639.62,6,3,Website,Confirmed,7125837.720000001
BKG01752,2024-12-31,2025-04-11,2025-04-17,Standard,Early Bird (> 30 days),1226177.43,6,2,OTA,Confirmed,7357064.58
BKG01753,2024-12-31,2025-04-11,2025-04-16,Standard,Early Bird (> 30 days),1235268.86,5,3,Direct,Confirmed,6176344.300000001
BKG01754,2024-12-31,2025-04-11,2025-04-14,Standard,Early Bird (> 30 days),1186301.51,3,1,OTA,Confirmed,3558904.5300000003
BKG01755,2024-12-31,2025-04-11,2025-04-16,Deluxe,Early Bird (> 30 days),1391620.28,5,3,Direct,Confirmed,6958101.4
BKG01756,2024-12-31,2025-04-11,2025-04-14,Suite,Early Bird (> 30 days),2034607.8,3,1,Walk-in,Confirmed,6103823.4
BKG01757,2024-12-31,2025-04-11,2025-04-15,Suite,Early Bird (> 30 days) + Member,1839095.11,4,3,Direct,Confirmed,7356380.44
BKG01758,2024-12-31,2025-04-11,2025-04-12,Suite,Early Bird (> 30 days),2012473.53,1,2,Website,Confirmed,2012473.53
BKG01759,2024-12-31,2025-04-12,2025-04-16,Standard,Early Bird (> 30 days),1153868.26,4,2,OTA,Confirmed,4615473.04
BKG01760,2024-12-31,2025-04-12,2025-04-15,Standard,Early Bird (> 30 days),1250137.21,3,3,Website,Confirmed,3750411.63
BKG01761,2024-12-31,2025-04-12,2025-04-17,Standard,Early Bird (> 30 days) + Member,1082490.22,5,3,OTA,Cancelled,0.0
BKG01762,2024-12-31,2025-04-12,2025-04-15,Standard,Early Bird (> 30 days),1245604.5,3,2,OTA,Confirmed,3736813.5
BKG01763,2024-12-31,2025-04-12,2025-04-14,Standard,Early Bird (> 30 days) + Member,1046155.56,2,3,Website,Cancelled,0.0
BKG01764,2024-12-31,2025-04-12,2025-04-15,Standard,Early Bird (> 30 days),1135355.35,3,1,Walk-in,Confirmed,3406066.0500000003
BKG01765,2024-12-31,2025-04-12,2025-04-18,Standard,Early Bird (> 30 days),1183604.31,6,3,Website,Confirmed,7101625.86
BKG01766,2024-12-31,2025-04-12,2025-04-13,Standard,Early Bird (> 30 days) + Member,1026679.87,1,3,Walk-in,Confirmed,1026679.87
BKG01767,2024-12-31,2025-04-12,2025-04-14,Standard,Early Bird (> 30 days),1145205.15,2,1,Website,Confirmed,2290410.3
BKG01768,2024-12-31,2025-04-12,2025-04-17,Deluxe,Early Bird (> 30 days),1351789.23,5,3,Direct,Confirmed,6758946.15
BKG01769,2024-12-31,2025-04-12,2025-04-15,Deluxe,Early Bird (> 30 days) + Member,1199934.97,3,3,Walk-in,Confirmed,3599804.91
BKG01770,2024-12-31,2025-04-12,2025-04-17,Deluxe,Early Bird (> 30 days),1330464.58,5,2,OTA,Confirmed,6652322.9
BKG01771,2024-12-31,2025-04-12,2025-04-16,Deluxe,Early Bird (> 30 days),1395418.01,4,3,Direct,Confirmed,5581672.04
BKG01772,2024-12-31,2025-04-12,2025-04-18,Deluxe,Early Bird (> 30 days) + Member,1161287.53,6,1,Direct,Confirmed,6967725.18
BKG01773,2024-12-31,2025-04-12,2025-04-16,Suite,Early Bird (> 30 days),2178457.02,4,3,OTA,Confirmed,8713828.08
BKG01774,2024-12-31,2025-04-12,2025-04-16,Suite,Early Bird (> 30 days) + Member,1891607.14,4,2,OTA,Confirmed,7566428.56
BKG01775,2024-12-31,2025-04-13,2025-04-16,Standard,Early Bird (> 30 days),1212946.81,3,2,OTA,Confirmed,3638840.43
BKG01776,2024-12-31,2025-04-13,2025-04-17,Standard,Early Bird (> 30 days),1142107.48,4,3,OTA,Confirmed,4568429.92
BKG01777,2024-12-31,2025-04-13,2025-04-18,Standard,Early Bird (> 30 days),1155909.83,5,2,Direct,Confirmed,5779549.15
BKG01778,2024-12-31,2025-04-13,2025-04-15,Standard,Early Bird (> 30 days),1169689.32,2,3,Website,Confirmed,2339378.64
BKG01779,2024-12-31,2025-04-13,2025-04-14,Standard,Early Bird (> 30 days),1231873.3,1,3,Website,Confirmed,1231873.3
BKG01780,2024-12-31,2025-04-13,2025-04-17,Standard,Early Bird (> 30 days),1140478.89,4,2,OTA,Confirmed,4561915.56
BKG01781,2024-12-31,2025-04-13,2025-04-18,Standard,Early Bird (> 30 days),1144282.46,5,3,Website,Cancelled,0.0
BKG01782,2024-12-31,2025-04-13,2025-04-18,Standard,Early Bird (> 30 days),1198313.71,5,3,Direct,Confirmed,5991568.55
BKG01783,2024-12-31,2025-04-13,2025-04-16,Standard,Early Bird (> 30 days) + Member,1099782.49,3,3,Website,Confirmed,3299347.4699999997
BKG01784,2024-12-31,2025-04-13,2025-04-17,Standard,Early Bird (> 30 days),1144846.59,4,2,Website,Confirmed,4579386.36
BKG01785,2024-12-31,2025-04-13,2025-04-17,Standard,Early Bird (> 30 days),1242921.32,4,1,OTA,Confirmed,4971685.28
BKG01786,2024-12-31,2025-04-13,2025-04-17,Standard,Early Bird (> 30 days) + Member,1113650.58,4,2,Website,Confirmed,4454602.32
BKG01787,2024-12-31,2025-04-13,2025-04-15,Standard,Early Bird (> 30 days),1213812.99,2,2,Website,Confirmed,2427625.98
BKG01788,2024-12-31,2025-04-13,2025-04-15,Standard,Early Bird (> 30 days) + Member,1066463.58,2,3,Direct,Confirmed,2132927.16
BKG01789,2024-12-31,2025-04-13,2025-04-19,Standard,Early Bird (> 30 days),1179832.35,6,1,OTA,Confirmed,7078994.100000001
BKG01790,2024-12-31,2025-04-13,2025-04-15,Standard,Early Bird (> 30 days) + Member,1116922.88,2,3,Direct,Confirmed,2233845.76
BKG01791,2024-12-31,2025-04-13,2025-04-19,Standard,Early Bird (> 30 days),1153572.93,6,3,OTA,Confirmed,6921437.58
BKG01792,2024-12-31,2025-04-13,2025-04-14,Standard,Early Bird (> 30 days) + Member,1040064.18,1,2,Direct,Confirmed,1040064.18
BKG01793,2024-12-31,2025-04-13,2025-04-15,Standard,Early Bird (> 30 days),1141480.85,2,3,Direct,Confirmed,2282961.7
BKG01794,2024-12-31,2025-04-13,2025-04-16,Standard,Early Bird (> 30 days) + Member,1021586.51,3,2,Direct,Cancelled,0.0
BKG01795,2024-12-31,2025-04-13,2025-04-20,Standard,Early Bird (> 30 days),1155744.88,7,1,Website,Confirmed,8090214.159999999
BKG01796,2024-12-31,2025-04-13,2025-04-16,Standard,Early Bird (> 30 days) + Member,1049889.86,3,2,Direct,Confirmed,3149669.58
BKG01797,2024-12-31,2025-04-13,2025-04-16,Standard,Early Bird (> 30 days),1230263.56,3,2,OTA,Confirmed,3690790.68
BKG01798,2024-12-31,2025-04-13,2025-04-16,Standard,Early Bird (> 30 days),1199867.13,3,3,OTA,Confirmed,3599601.3899999997
BKG01799,2024-12-31,2025-04-13,2025-04-16,Deluxe,Early Bird (> 30 days) + Member,1194329.91,3,1,Direct,Cancelled,0.0
BKG01800,2024-12-31,2025-04-13,2025-04-17,Deluxe,Early Bird (> 30 days) + Member,1262733.6,4,2,Direct,Confirmed,5050934.4
BKG01801,2024-12-31,2025-04-13,2025-04-16,Deluxe,Early Bird (> 30 days),1310149.02,3,1,Direct,Confirmed,3930447.06
BKG01802,2024-12-31,2025-04-13,2025-04-14,Deluxe,Early Bird (> 30 days),1317264.29,1,2,Walk-in,Confirmed,1317264.29
BKG01803,2024-12-31,2025-04-13,2025-04-16,Deluxe,Early Bird (> 30 days),1413955.9,3,1,OTA,Confirmed,4241867.699999999
BKG01804,2024-12-31,2025-04-13,2025-04-15,Deluxe,Early Bird (> 30 days) + Member,1202064.74,2,3,Direct,Cancelled,0.0
BKG01805,2024-12-31,2025-04-13,2025-04-18,Deluxe,Early Bird (> 30 days),1392119.52,5,1,Direct,Confirmed,6960597.6
BKG01806,2024-12-31,2025-04-14,2025-04-16,Standard,Early Bird (> 30 days),1179408.76,2,3,Direct,Confirmed,2358817.52
BKG01807,2024-12-31,2025-04-14,2025-04-16,Standard,Early Bird (> 30 days),1179765.75,2,1,Website,Confirmed,2359531.5
BKG01808,2024-12-31,2025-04-14,2025-04-19,Standard,Early Bird (> 30 days) + Member,1120976.15,5,3,OTA,Confirmed,5604880.75
BKG01809,2024-12-31,2025-04-14,2025-04-18,Standard,Early Bird (> 30 days) + Member,1029925.07,4,1,Direct,Confirmed,4119700.28
BKG01810,2024-12-31,2025-04-14,2025-04-18,Standard,Early Bird (> 30 days),1158280.2,4,3,Direct,Confirmed,4633120.8
BKG01811,2024-12-31,2025-04-14,2025-04-17,Standard,Early Bird (> 30 days) + Member,1086342.14,3,2,Website,Confirmed,3259026.42
BKG01812,2024-12-31,2025-04-14,2025-04-19,Standard,Early Bird (> 30 days),1214053.33,5,2,Website,Confirmed,6070266.65
BKG01813,2024-12-31,2025-04-14,2025-04-18,Standard,Early Bird (> 30 days),1225438.71,4,2,OTA,Confirmed,4901754.84
BKG01814,2024-12-31,2025-04-14,2025-04-17,Standard,Early Bird (> 30 days) + Member,1021893.56,3,1,Direct,Confirmed,3065680.68
BKG01815,2024-12-31,2025-04-14,2025-04-19,Standard,Early Bird (> 30 days),1195510.96,5,1,Website,Cancelled,0.0
BKG01816,2024-12-31,2025-04-14,2025-04-17,Standard,Early Bird (> 30 days),1217468.55,3,3,Website,Confirmed,3652405.6500000004
BKG01817,2024-12-31,2025-04-14,2025-04-15,Deluxe,Early Bird (> 30 days),1399080.93,1,3,OTA,Confirmed,1399080.93
BKG01818,2024-12-31,2025-04-14,2025-04-17,Suite,Early Bird (> 30 days),2060200.9,3,2,Walk-in,Confirmed,6180602.699999999
BKG01819,2024-12-31,2025-04-14,2025-04-17,Suite,Early Bird (> 30 days),2011393.34,3,3,Direct,Confirmed,6034180.0200000005
BKG01820,2024-12-31,2025-04-15,2025-04-19,Standard,Early Bird (> 30 days),1134001.4,4,1,OTA,Confirmed,4536005.6
BKG01821,2024-12-31,2025-04-15,2025-04-19,Standard,Early Bird (> 30 days),1233012.32,4,2,OTA,Cancelled,0.0
BKG01822,2024-12-31,2025-04-15,2025-04-19,Standard,Early Bird (> 30 days),1230913.01,4,1,Website,Confirmed,4923652.04
BKG01823,2024-12-31,2025-04-15,2025-04-20,Standard,Early Bird (> 30 days),1200808.71,5,3,OTA,Confirmed,6004043.55
BKG01824,2024-12-31,2025-04-15,2025-04-18,Deluxe,Early Bird (> 30 days),1373989.94,3,3,Direct,Cancelled,0.0
BKG01825,2024-12-31,2025-04-15,2025-04-18,Deluxe,Early Bird (> 30 days),1339101.1,3,2,OTA,Confirmed,4017303.3000000003
BKG01826,2024-12-31,2025-04-15,2025-04-20,Deluxe,Early Bird (> 30 days) + Member,1156354.51,5,2,Direct,Confirmed,5781772.55
BKG01827,2024-12-31,2025-04-15,2025-04-16,Suite,Early Bird (> 30 days),2152060.03,1,2,OTA,Confirmed,2152060.03
BKG01828,2024-12-31,2025-04-15,2025-04-22,Suite,Early Bird (> 30 days),2129945.09,7,2,Direct,Confirmed,14909615.629999999
BKG01829,2024-12-31,2025-04-15,2025-04-17,Suite,Early Bird (> 30 days),2072115.62,2,2,Website,Confirmed,4144231.24
BKG01830,2024-12-31,2025-04-16,2025-04-18,Standard,Early Bird (> 30 days),1237744.29,2,1,Website,Confirmed,2475488.58
BKG01831,2024-12-31,2025-04-16,2025-04-18,Standard,Early Bird (> 30 days),1152705.13,2,2,Website,Confirmed,2305410.26
BKG01832,2024-12-31,2025-04-16,2025-04-23,Standard,Early Bird (> 30 days) + Member,1096633.88,7,1,Walk-in,Confirmed,7676437.159999999
BKG01833,2024-12-31,2025-04-16,2025-04-20,Standard,Early Bird (> 30 days) + Member,1114397.92,4,3,Direct,Cancelled,0.0
BKG01834,2024-12-31,2025-04-16,2025-04-17,Standard,Early Bird (> 30 days),1175476.6,1,3,OTA,Confirmed,1175476.6
BKG01835,2024-12-31,2025-04-16,2025-04-19,Standard,Early Bird (> 30 days) + Member,1068173.65,3,2,Direct,Confirmed,3204520.9499999997
BKG01836,2024-12-31,2025-04-16,2025-04-22,Standard,Early Bird (> 30 days),1172291.27,6,3,Direct,Confirmed,7033747.62
BKG01837,2024-12-31,2025-04-16,2025-04-17,Standard,Early Bird (> 30 days),1149116.94,1,2,Walk-in,Confirmed,1149116.94
BKG01838,2024-12-31,2025-04-16,2025-04-18,Standard,Early Bird (> 30 days),1246456.93,2,1,OTA,Cancelled,0.0
BKG01839,2024-12-31,2025-04-16,2025-04-19,Standard,Early Bird (> 30 days),1185194.12,3,1,Website,Confirmed,3555582.3600000003
BKG01840,2024-12-31,2025-04-16,2025-04-17,Standard,Early Bird (> 30 days) + Member,1078165.18,1,2,Direct,Confirmed,1078165.18
BKG01841,2024-12-31,2025-04-16,2025-04-20,Standard,Early Bird (> 30 days),1244618.34,4,3,OTA,Confirmed,4978473.36
BKG01842,2024-12-31,2025-04-16,2025-04-19,Standard,Early Bird (> 30 days),1198863.77,3,2,Website,Cancelled,0.0
BKG01843,2024-12-31,2025-04-16,2025-04-21,Deluxe,Early Bird (> 30 days),1392500.52,5,3,Website,Confirmed,6962502.6
BKG01844,2024-12-31,2025-04-16,2025-04-21,Deluxe,Early Bird (> 30 days) + Member,1211299.79,5,3,Direct,Confirmed,6056498.95
BKG01845,2024-12-31,2025-04-16,2025-04-18,Deluxe,Early Bird (> 30 days),1350924.99,2,1,OTA,Confirmed,2701849.98
BKG01846,2024-12-31,2025-04-16,2025-04-19,Deluxe,Early Bird (> 30 days),1395073.94,3,3,Direct,Confirmed,4185221.82
BKG01847,2024-12-31,2025-04-16,2025-04-20,Deluxe,Early Bird (> 30 days) + Member,1191103.41,4,3,Website,Confirmed,4764413.64
BKG01848,2024-12-31,2025-04-16,2025-04-18,Suite,Early Bird (> 30 days),2088075.15,2,2,OTA,Confirmed,4176150.3
BKG01849,2024-12-31,2025-04-16,2025-04-20,Suite,Early Bird (> 30 days) + Member,1781414.85,4,3,OTA,Confirmed,7125659.4
BKG01850,2024-12-31,2025-04-16,2025-04-19,Suite,Early Bird (> 30 days) + Member,1791700.71,3,3,Direct,Confirmed,5375102.13
BKG01851,2024-12-31,2025-04-16,2025-04-20,Suite,Early Bird (> 30 days) + Member,1902764.86,4,1,Website,Cancelled,0.0
BKG01852,2024-12-31,2025-04-17,2025-04-19,Standard,Early Bird (> 30 days),1246366.88,2,1,Direct,Confirmed,2492733.76
BKG01853,2024-12-31,2025-04-17,2025-04-19,Standard,Early Bird (> 30 days),1200912.67,2,2,Website,Confirmed,2401825.34
BKG01854,2024-12-31,2025-04-17,2025-04-21,Standard,Early Bird (> 30 days),1188568.06,4,1,OTA,Confirmed,4754272.24
BKG01855,2024-12-31,2025-04-17,2025-04-21,Standard,Early Bird (> 30 days) + Member,1054163.34,4,2,OTA,Confirmed,4216653.36
BKG01856,2024-12-31,2025-04-17,2025-04-20,Standard,Early Bird (> 30 days),1211394.43,3,2,OTA,Confirmed,3634183.29
BKG01857,2024-12-31,2025-04-17,2025-04-21,Deluxe,Early Bird (> 30 days),1282883.47,4,3,Website,Confirmed,5131533.88
BKG01858,2024-12-31,2025-04-17,2025-04-19,Deluxe,Early Bird (> 30 days) + Member,1237898.86,2,1,Direct,Confirmed,2475797.72
BKG01859,2024-12-31,2025-04-17,2025-04-24,Deluxe,Early Bird (> 30 days) + Member,1251342.33,7,3,OTA,Confirmed,8759396.31
BKG01860,2024-12-31,2025-04-17,2025-04-23,Deluxe,Early Bird (> 30 days),1309828.46,6,2,OTA,Confirmed,7858970.76
BKG01861,2024-12-31,2025-04-17,2025-04-20,Deluxe,Early Bird (> 30 days),1374379.0,3,1,Direct,Confirmed,4123137.0
BKG01862,2024-12-31,2025-04-17,2025-04-21,Deluxe,Early Bird (> 30 days),1309813.22,4,1,OTA,Confirmed,5239252.88
BKG01863,2024-12-31,2025-04-17,2025-04-22,Deluxe,Early Bird (> 30 days) + Member,1204195.91,5,1,Direct,Confirmed,6020979.55
BKG01864,2024-12-31,2025-04-17,2025-04-22,Deluxe,Early Bird (> 30 days) + Member,1209246.57,5,2,Website,Cancelled,0.0
BKG01865,2024-12-31,2025-04-17,2025-04-19,Deluxe,Early Bird (> 30 days) + Member,1167127.61,2,1,Website,Confirmed,2334255.22
BKG01866,2024-12-31,2025-04-17,2025-04-21,Suite,Early Bird (> 30 days),2125404.52,4,2,OTA,Confirmed,8501618.08
BKG01867,2024-12-31,2025-04-17,2025-04-24,Suite,Early Bird (> 30 days) + Member,1882572.83,7,3,OTA,Confirmed,13178009.81
BKG01868,2024-12-31,2025-04-18,2025-04-21,Standard,Early Bird (> 30 days),1191881.93,3,1,Direct,Confirmed,3575645.79
BKG01869,2024-12-31,2025-04-18,2025-04-20,Standard,Early Bird (> 30 days),1200219.0,2,2,OTA,Confirmed,2400438.0
BKG01870,2024-12-31,2025-04-18,2025-04-22,Standard,Early Bird (> 30 days),1246636.27,4,2,Direct,Confirmed,4986545.08
BKG01871,2024-12-31,2025-04-18,2025-04-21,Standard,Early Bird (> 30 days),1170462.27,3,3,Website,Confirmed,3511386.81
BKG01872,2024-12-31,2025-04-18,2025-04-25,Standard,Early Bird (> 30 days),1217274.04,7,2,Direct,Confirmed,8520918.280000001
BKG01873,2024-12-31,2025-04-18,2025-04-22,Standard,Early Bird (> 30 days) + Member,1087153.33,4,2,Website,Confirmed,4348613.32
BKG01874,2024-12-31,2025-04-18,2025-04-24,Standard,Early Bird (> 30 days) + Member,1102055.41,6,3,Direct,Confirmed,6612332.459999999
BKG01875,2024-12-31,2025-04-18,2025-04-22,Standard,Early Bird (> 30 days),1196808.38,4,3,Website,Confirmed,4787233.52
BKG01876,2024-12-31,2025-04-18,2025-04-22,Standard,Early Bird (> 30 days),1158512.0,4,1,Website,Confirmed,4634048.0
BKG01877,2024-12-31,2025-04-18,2025-04-21,Standard,Early Bird (> 30 days),1195020.79,3,3,Website,Confirmed,3585062.37
BKG01878,2024-12-31,2025-04-18,2025-04-20,Standard,Early Bird (> 30 days),1159399.65,2,3,Website,Confirmed,2318799.3
BKG01879,2024-12-31,2025-04-18,2025-04-22,Standard,Early Bird (> 30 days),1213221.43,4,3,Website,Cancelled,0.0
BKG01880,2024-12-31,2025-04-18,2025-04-22,Standard,Early Bird (> 30 days),1181969.36,4,1,Direct,Confirmed,4727877.44
BKG01881,2024-12-31,2025-04-18,2025-04-22,Standard,Early Bird (> 30 days),1151089.51,4,2,OTA,Confirmed,4604358.04
BKG01882,2024-12-31,2025-04-18,2025-04-21,Standard,Early Bird (> 30 days),1134725.94,3,3,Website,Confirmed,3404177.82
BKG01883,2024-12-31,2025-04-18,2025-04-23,Standard,Early Bird (> 30 days) + Member,1031140.78,5,1,Direct,Confirmed,5155703.9
BKG01884,2024-12-31,2025-04-18,2025-04-20,Standard,Early Bird (> 30 days) + Member,1122370.44,2,1,Website,Confirmed,2244740.88
BKG01885,2024-12-31,2025-04-18,2025-04-21,Standard,Early Bird (> 30 days),1135943.18,3,3,Website,Confirmed,3407829.54
BKG01886,2024-12-31,2025-04-18,2025-04-24,Suite,Early Bird (> 30 days),2058594.67,6,2,OTA,Confirmed,12351568.02
BKG01887,2024-12-31,2025-04-19,2025-04-22,Deluxe,Early Bird (> 30 days),1290132.12,3,3,Walk-in,Confirmed,3870396.3600000003
BKG01888,2024-12-31,2025-04-19,2025-04-22,Deluxe,Early Bird (> 30 days),1293183.57,3,1,OTA,Confirmed,3879550.71
BKG01889,2024-12-31,2025-04-19,2025-04-25,Deluxe,Early Bird (> 30 days),1333269.24,6,1,OTA,Cancelled,0.0
BKG01890,2024-12-31,2025-04-19,2025-04-23,Deluxe,Early Bird (> 30 days) + Member,1201835.96,4,1,Website,Confirmed,4807343.84
BKG01891,2024-12-31,2025-04-19,2025-04-22,Deluxe,Early Bird (> 30 days),1305760.35,3,2,OTA,Confirmed,3917281.0500000003
BKG01892,2024-12-31,2025-04-19,2025-04-22,Deluxe,Early Bird (> 30 days),1363087.31,3,1,OTA,Confirmed,4089261.93
BKG01893,2024-12-31,2025-04-19,2025-04-22,Deluxe,Early Bird (> 30 days),1286163.62,3,3,OTA,Confirmed,3858490.8600000003
BKG01894,2024-12-31,2025-04-19,2025-04-24,Deluxe,Early Bird (> 30 days),1323301.76,5,3,OTA,Confirmed,6616508.8
BKG01895,2024-12-31,2025-04-19,2025-04-21,Suite,Early Bird (> 30 days) + Member,1915300.79,2,3,OTA,Confirmed,3830601.58
BKG01896,2024-12-31,2025-04-20,2025-04-25,Standard,Early Bird (> 30 days),1183884.25,5,2,Website,Confirmed,5919421.25
BKG01897,2024-12-31,2025-04-20,2025-04-23,Standard,Early Bird (> 30 days),1162846.54,3,3,OTA,Confirmed,3488539.62
BKG01898,2024-12-31,2025-04-20,2025-04-25,Standard,Early Bird (> 30 days),1178240.45,5,3,Walk-in,Confirmed,5891202.25
BKG01899,2024-12-31,2025-04-20,2025-04-25,Standard,Early Bird (> 30 days) + Member,1038293.15,5,2,Website,Confirmed,5191465.75
